,State,Total,lat,lon
0,ANDHRA PRADESH,17,15.9240905,80.1863809
1,ARUNACHAL PRADESH,1,28.0937702,94.5921326
2,ASSAM,24,26.4073841,93.2551303
3,BIHAR,19,25.6440845,85.906508
4,CHANDIGARH,8,30.7334421,76.7797143
5,CHHATTISGARH,18,21.6637359,81.8406351
6,DELHI,27,28.6517178,77.2219388
7,GOA,3,15.3004543,74.0855134
8,GUJARAT,38,22.3850051,71.745261
9,HARYANA,20,29.0,76.0
10,HIMACHAL PRADESH,6,31.8167602,77.3493205
11,JAMMU AND KASHMIR,10,33.6649297,75.1629584
12,JHARKHAND,17,23.4559809,85.2557301
13,KARNATAKA,28,14.5203896,75.7223521
14,KERALA,24,10.3528744,76.5120396
15,MADHYA PRADESH,36,23.8143419,77.5340719
16,MAHARASHTRA,86,18.9068356,75.6741579
17,MANIPUR,2,24.7208818,93.9229386
18,MEGHALAYA,3,25.5379432,91.2999102
19,NAGALAND,3,26.1630556,94.5884911
20,ODISHA,22,20.5431241,84.6897321
21,PONDICHERRY,4,11.9340568,79.8306447
22,PUNJAB,38,30.9293211,75.5004841
23,RAJASTHAN,33,26.8105777,73.7684549
24,TAMILNADU,43,10.9094334,78.3665347
25,TELANGANA,14,17.8495919,79.1151663
26,TRIPURA,3,23.7750823,91.7025091
27,UTTAR PRADESH,52,27.1303344,80.859666
28,UTTARAKHAND,12,30.0417376,79.089691
29,WEST BENGAL,39,22.9964948,87.6855882
